Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
jan.-22,12 - Educação,694 - Serviços financeiros,"4.556.006.277,00","326.587.409,58","326.587.409,58","60.878.496,55"
jan.-22,20 - Agricultura,606 - Extensão rural,0,0,0,"2.551.762,71"
jan.-22,09 - Previdência social,183 - Informação e inteligência,0,0,0,"7.205.955,28"
jan.-22,03 - Essencial à justiça,"422 - Direitos individuais, coletivos e difusos",0,0,0,"3.085,00"
jan.-22,04 - Administração,364 - Ensino superior,"4.987,35","3.400,66","2.800,00","52.177,60"
jan.-22,09 - Previdência social,845 - Outras transferências,"125.867.011,54","125.537.924,41","522.017,94","223.713,18"
jan.-22,18 - Gestão ambiental,512 - Saneamento básico urbano,"100.000,00","12.180,65","12.180,65",0
jan.-22,06 - Segurança pública,"422 - Direitos individuais, coletivos e difusos",0,0,0,"34.774,38"
jan.-22,21 - Organização agrária,846 - Outros encargos especiais,"84.274.086,00","6.159.693,46","6.159.693,46","221.515,59"
jan.-22,26 - Transporte,126 - Tecnologia da informação,"4.991.232,00",0,0,"12.747.791,05"
jan.-22,15 - Urbanismo,301 - Atenção básica,"2.218.420,76","2.142.465,36","76.337,14","4.101.191,72"
jan.-22,05 - Defesa nacional,364 - Ensino superior,"2.065,30",0,0,"426.190,75"
jan.-22,18 - Gestão ambiental,846 - Outros encargos especiais,"131.768.854,18","13.539.969,80","13.539.969,80","7.257.058,64"
jan.-22,09 - Previdência social,124 - Controle interno,"52.209,00",0,0,0
jan.-22,21 - Organização agrária,301 - Atenção básica,"43.414.383,29","2.811.049,09","91.465,29","2.872.881,44"
jan.-22,26 - Transporte,846 - Outros encargos especiais,"208.279.529,00","15.442.115,06","15.442.115,06","4.696,80"
jan.-22,03 - Essencial à justiça,122 - Administração geral,"252.081,76","61.628,04","61.628,04",0
jan.-22,26 - Transporte,661 - Promoção industrial,"126.173,52",0,0,0
jan.-22,23 - Comércio e serviços,693 - Comércio exterior,"3.460.002.000,00","211.295.432,89","211.295.432,89","4.225.960,37"
jan.-22,05 - Defesa nacional,333 - Empregabilidade,0,0,0,"99.107,13"
jan.-22,05 - Defesa nacional,571 - Desenvolvimento científico,0,0,0,"138.907,91"
jan.-22,09 - Previdência social,125 - Normatização e fiscalização,"70.000,00","2.643,86","2.643,86","208.433,14"
jan.-22,13 - Cultura,"391 - Patrimônio histórico, artístico e arqueológico","331.836,96","1.226,37","1.226,37","1.353.772,08"
jan.-22,23 - Comércio e serviços,122 - Administração geral,"85.091.049,43","7.111.867,52","2.110.285,58","11.288.964,09"
jan.-22,01 - Legislativa,032 - Controle externo,0,0,0,"28.915,33"
jan.-22,09 - Previdência social,331 - Proteção e benefícios ao trabalhador,0,0,0,0
jan.-22,18 - Gestão ambiental,331 - Proteção e benefícios ao trabalhador,0,0,0,0
jan.-22,24 - Comunicações,131 - Comunicação social,"590.000,00",0,0,"19.177.319,61"
jan.-22,25 - Energia,665 - Normalização e qualidade,"98.000,00",0,0,"76.160,00"
jan.-22,26 - Transporte,781 - Transporte aéreo,0,0,0,"9.759.226,74"
jan.-22,05 - Defesa nacional,126 - Tecnologia da informação,"20.000,00",0,0,"589.440,33"
jan.-22,04 - Administração,"391 - Patrimônio histórico, artístico e arqueológico","59.348,00","2.901,28",0,"1.393.757,47"
jan.-22,25 - Energia,846 - Outros encargos especiais,"58.087.848,00","4.440.109,66","4.239.157,38","8.551,20"
jan.-22,28 - Encargos especiais,301 - Atenção básica,0,0,0,"9.109.694,24"
jan.-22,11 - Trabalho,571 - Desenvolvimento científico,"6.134,10","78.225,39",0,"91.397,41"
jan.-22,05 - Defesa nacional,811 - Desporto de rendimento,"158.333,00","401,85",0,"24.846,38"
jan.-22,05 - Defesa nacional,121 - Planejamento e orçamento,"5.000,00",0,0,"33.706,89"
jan.-22,15 - Urbanismo,331 - Proteção e benefícios ao trabalhador,0,0,0,0
jan.-22,26 - Transporte,130 - Administração de concessões,"122.000,00",0,0,"12.288,06"
jan.-22,09 - Previdência social,128 - Formação de recursos humanos,0,0,0,"156.224,62"
jan.-22,18 - Gestão ambiental,573 - Difusão do conhecimento científico e tecnológico,0,0,0,"14.624,88"
jan.-22,05 - Defesa nacional,846 - Outros encargos especiais,"193.533.546,76","20.309.808,67","20.309.808,67",0
jan.-22,20 - Agricultura,631 - Reforma agrária,0,0,0,"40.597,36"
jan.-22,25 - Energia,662 - Produção industrial,"488.018.184,37","6.352.552,85","5.739.793,96","2.052.907,61"
jan.-22,23 - Comércio e serviços,301 - Atenção básica,"7.176.800,00","573.173,63","-1.699,29","573.590,93"
jan.-22,23 - Comércio e serviços,125 - Normatização e fiscalização,0,0,0,"151.833,29"
jan.-22,28 - Encargos especiais,847 - Transferências para a educação básica,"65.707.526.629,79","2.848.949.528,22","2.848.949.528,22","4.382.439.394,58"
jan.-22,28 - Encargos especiais,841 - Refinanciamento da dívida interna,"183.728.500.000,00","163.204.579.333,35","163.204.579.333,35",0
jan.-22,24 - Comunicações,301 - Atenção básica,"33.054.013,70","1.389.796,14","9.939,73","1.503.372,96"
jan.-22,05 - Defesa nacional,812 - Desporto comunitário,0,0,0,"217.611,08"
jan.-22,19 - Ciência e Tecnologia,212 - Cooperação internacional,0,0,0,0
jan.-22,22 - Indústria,665 - Normalização e qualidade,"212.768,56",0,0,"1.088.387,56"
jan.-22,11 - Trabalho,331 - Proteção e benefícios ao trabalhador,"3.914.105.013,19","3.914.105.013,19","3.914.105.013,19","581.212.425,90"
jan.-22,06 - Segurança pública,846 - Outros encargos especiais,"924.406.070,50","107.716.730,00","107.314.198,21","528.970,51"
jan.-22,10 - Saúde,512 - Saneamento básico urbano,"24.625,09","2.610,98","2.610,98","324.799,70"
jan.-22,26 - Transporte,301 - Atenção básica,"84.839.795,96","6.371.616,17","510.835,53","6.382.812,85"
jan.-22,27 - Desporto e lazer,811 - Desporto de rendimento,"3.797.512,03",0,0,"1.613.587,99"
jan.-22,19 - Ciência e Tecnologia,125 - Normatização e fiscalização,"321.254,17","14.168,13","13.900,23","250.728,71"
jan.-22,20 - Agricultura,609 - Defesa agropecuária,"331.292,00","4.782,23","1.968,38","5.599.125,64"
jan.-22,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,0,0,0,"17.477.172,61"
jan.-22,05 - Defesa nacional,542 - Controle ambiental,"692.379,58","78.207,60","6.590,13","737.065,44"
jan.-22,04 - Administração,127 - Ordenamento territorial,"802.789,85","227.002,97","157.636,12","2.203.897,15"
jan.-22,25 - Energia,128 - Formação de recursos humanos,"583.200,00","34.002,51","5.144,98","93.682,71"
jan.-22,21 - Organização agrária,631 - Reforma agrária,"57.556,49","9.062,18","9.062,18","2.647.828,45"
jan.-22,22 - Indústria,126 - Tecnologia da informação,"5.202,98","1.687,76","1.271,90","252.558,54"
jan.-22,08 - Assistência social,242 - Assistência ao portador de deficiência,"39.886.619.517,85","3.353.282.512,83","1.859.842.930,03","1.375.913.543,43"
jan.-22,03 - Essencial à justiça,301 - Atenção básica,"85.661.244,15","8.102.508,84","2.919.682,66","5.337.512,42"
jan.-22,14 - Direitos da cidadania,301 - Atenção básica,"12.993.288,90","1.297.267,02",0,"1.469.430,33"
jan.-22,24 - Comunicações,846 - Outros encargos especiais,"61.803.007,88","4.254.573,64","4.254.573,64",0
jan.-22,07 - Relações exteriores,212 - Cooperação internacional,"676.557,30","168.833,00","168.833,00","4.647.328,56"
jan.-22,22 - Indústria,664 - Propriedade industrial,"118.940,32",0,0,"1.821.059,70"
jan.-22,14 - Direitos da cidadania,"422 - Direitos individuais, coletivos e difusos","18.138.102,09","415.318,95","318.057,79","14.849.589,62"
jan.-22,18 - Gestão ambiental,571 - Desenvolvimento científico,"75.694,00","6.550,97","6.375,97","26.360,01"
jan.-22,11 - Trabalho,301 - Atenção básica,"20.292.222,14","5.740.401,38","119.395,43","132.703,39"
jan.-22,15 - Urbanismo,451 - infra-estrutura urbana,0,0,0,"14.467.462,81"
jan.-22,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","2.095.967,56","39,33",0,"2.700,00"
jan.-22,26 - Transporte,784 - Transporte hidroviário,"358.575,00",0,0,"8.154.278,47"
jan.-22,10 - Saúde,846 - Outros encargos especiais,"1.065.949.194,00","82.811.723,22","82.810.192,80","41.900,20"
jan.-22,04 - Administração,573 - Difusão do conhecimento científico e tecnológico,0,0,0,"238.611,47"
jan.-22,09 - Previdência social,092 - Representação judicial e extrajudicial,"3.818.265,95","2.492.536,79","2.410.555,28","1.994.809,50"
jan.-22,07 - Relações exteriores,573 - Difusão do conhecimento científico e tecnológico,"2.587.212,05","13.772,36","7.160,22","34.331,20"
jan.-22,10 - Saúde,303 - Suporte profilático e terapêutico,"3.017.992.395,72","341.435.738,85","246.083.819,01","588.538.544,60"
jan.-22,22 - Indústria,661 - Promoção industrial,"136.500,00","1.539,05","822,32","388.290,27"
jan.-22,09 - Previdência social,301 - Atenção básica,"213.377.118,71","14.252.318,76","89.165,83","20.052.373,74"
jan.-22,04 - Administração,123 - Administração financeira,"17.590,00","6.377,51","6.377,51","338.956,48"
jan.-22,23 - Comércio e serviços,695 - Turismo,"90.216,03","7.111,11","7.111,11","3.633.459,63"
jan.-22,08 - Assistência social,125 - Normatização e fiscalização,0,215,0,"77.874,97"
jan.-22,08 - Assistência social,243 - Assistência à criança e ao adolescente,"250.000,00",0,0,"195.759,32"
jan.-22,26 - Transporte,121 - Planejamento e orçamento,"85.167.620,73","14.282,50",0,"6.512.136,87"
jan.-22,13 - Cultura,301 - Atenção básica,"21.490.207,67","1.722.136,32",0,"1.814.623,72"
jan.-22,04 - Administração,126 - Tecnologia da informação,"11.537.257,36","2.289,00","2.289,00","20.618.128,22"
jan.-22,02 - Judiciária,032 - Controle externo,"14.280,20","2.253,20",0,0
jan.-22,16 - Habitação,451 - infra-estrutura urbana,0,0,0,0
jan.-22,09 - Previdência social,665 - Normalização e qualidade,"20.937.974,22","9.852.082,01","9.840.700,09",0
jan.-22,18 - Gestão ambiental,542 - Controle ambiental,"3.064.695,44","1.450.313,34","257.755,26","2.996.849,55"
jan.-22,13 - Cultura,392 - Difusão cultural,"5.216.067,94","35.403,14","31.684,21","5.328.020,44"
jan.-22,06 - Segurança pública,301 - Atenção básica,"263.155.916,13","28.848.290,47","2.714.861,60","26.108.135,29"
jan.-22,28 - Encargos especiais,845 - Outras transferências,"226.982.926.661,08","12.355.244.464,40","11.875.223.918,38","14.732.937.349,40"
jan.-22,20 - Agricultura,301 - Atenção básica,"258.022.801,43","19.821.665,12","4.703.716,64","9.294.420,74"
jan.-22,19 - Ciência e Tecnologia,571 - Desenvolvimento científico,"34.080.258,49","32.629.790,87","155.640,93","161.272.750,43"
jan.-22,10 - Saúde,511 - Saneamento básico rural,"1.738.536,83","155.716,45",0,"852.289,62"
jan.-22,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"1.211.131,79","5.864,17","1.758,08","2.211.625,45"
